img,output,flag,username,timestamp
C:\Users\r.ali\repo\NWPU-Crowd-Sample-Code\flagged\img\tmpv04hmdf6.png,,,,2023-05-11 14:38:42.379775
C:\Users\r.ali\repo\NWPU-Crowd-Sample-Code\flagged\img\tmpuenyi3bk.png,,,,2023-05-11 16:12:31.723126
C:\Users\r.ali\repo\NWPU-Crowd-Sample-Code\flagged\img\tmpzfxg1tom.png,,,,2023-05-11 16:18:56.317448
C:\Users\r.ali\repo\NWPU-Crowd-Sample-Code\flagged\img\tmpjrzcleh1.png,,,,2023-05-11 16:18:58.187003
